"Round","Site","Patch","Post.ID","Adaptive.Mgmt","YSB","Herb.Trt","alsike clover","birdsfoot trefoil","black medick","black-eyed susan","chicory","common cinquefoil","daisy fleabane","dandelion","deptford pink","gray dogwood","hoary vervain","horse nettle","multiflora rose","oxeye daisy","plantago lanceolata","prairie petunia","prairie rose","purple coneflower","red clover","strawberry","sulfur cinquefoil","white clover","white lobelia","white sweet clover","wild parsnip","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"R1","KLN","KLN-C","KLN-C-P5","PBG",1,"x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"R1","KLN","KLN-E","KLN-E-P1","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"R1","KLN","KLN-E","KLN-E-P3","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"R1","KLN","KLN-E","KLN-E-P4","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,2,0.562335144618808
"R1","KLN","KLN-E","KLN-E-P5","PBG",2,"Ref",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"R1","KLN","KLN-E","KLN-E-P6","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0
"R1","KLN","KLN-W","KLN-W-P3","PBG",0,"x",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"R1","KLN","KLN-W","KLN-W-P4","PBG",0,"x",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
"R1","KLN","KLN-W","KLN-W-P5","PBG",0,"x",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
"R1","LTR","LTR-C","LTR-C-P1","GB",0,"Spr",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"R1","LTR","LTR-C","LTR-C-P3","GB",0,"Spr",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"R1","LTR","LTR-C","LTR-C-P4","GB",0,"Spr",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"R1","LTR","LTR-C","LTR-C-P5","GB",0,"Spr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,1,0
"R1","LTR","LTR-C","LTR-C-P6","GB",0,"Spr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,1,0
"R1","LTR","LTR-E","LTR-E-P1","GB",0,"SnS",0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0.191444081957717
"R1","LTR","LTR-E","LTR-E-P2","GB",0,"SnS",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,20,3,1.08052762660417
"R1","LTR","LTR-E","LTR-E-P3","GB",0,"SnS",1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.562335144618808
"R1","LTR","LTR-E","LTR-E-P4","GB",0,"SnS",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,19,3,0.660578887652076
"R1","LTR","LTR-E","LTR-E-P5","GB",0,"SnS",1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.410116318288409
"R1","LTR","LTR-W","LTR-W-P1","GB",0,"Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,1,0
"R1","LTR","LTR-W","LTR-W-P2","GB",0,"Con",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"R1","LTR","LTR-W","LTR-W-P6","GB",0,"Con",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"R1","PYN","PYN-N","PYN-N-P2","PBG",2,"Ref",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
"R1","PYN","PYN-N","PYN-N-P3","PBG",2,"Ref",0,4,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0.449716690346899
"R1","PYN","PYN-N","PYN-N-P4","PBG",2,"Ref",0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.686961576597323
"R1","PYN","PYN-N","PYN-N-P5","PBG",2,"Ref",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,2,0.529706199057654
"R1","PYN","PYN-N","PYN-N-P6","PBG",2,"Ref",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
"R1","PYN","PYN-S","PYN-S-P1","PBG",0,"x",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,2,0.257318640543832
"R1","PYN","PYN-S","PYN-S-P2","PBG",0,"x",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
"R1","PYN","PYN-S","PYN-S-P3","PBG",0,"x",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0.325082973391448
"R1","PYN","PYN-S","PYN-S-P4","PBG",0,"x",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,24,3,0.544283732969439
"R1","PYN","PYN-S","PYN-S-P5","PBG",0,"x",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,26,3,0.535961049709069
"R1","PYN","PYN-S","PYN-S-P6","PBG",0,"x",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2,0.693147180559945
"R1","PYN","PYN-W","PYN-W-P1","PBG",1,"x",0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,9,59,4,0.818941122105423
"R1","PYN","PYN-W","PYN-W-P2","PBG",1,"x",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,2,0.206192050633232
"R1","PYN","PYN-W","PYN-W-P3","PBG",1,"x",0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0.355382896246011
"R1","PYN","PYN-W","PYN-W-P4","PBG",1,"x",0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.422709087805991
"R1","PYN","PYN-W","PYN-W-P5","PBG",1,"x",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"R1","RIS","RIS-C","RIS-C-P4","PBG",0,"x",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,2,0.149994923610415
"R1","RIS","RIS-C","RIS-C-P5","PBG",0,"x",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,2,0.357627159853222
"R1","RIS","RIS-C","RIS-C-P6","PBG",0,"x",0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,38,4,1.02368755722564
"R1","RIS","RIS-N","RIS-N-P1","PBG",1,"x",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"R1","RIS","RIS-N","RIS-N-P2","PBG",1,"x",0,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0.344598248102823
"R1","RIS","RIS-N","RIS-N-P3","PBG",1,"x",0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,3,0.983961446001026
"R1","RIS","RIS-N","RIS-N-P4","PBG",1,"x",0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0.450561208866305
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"x",0,9,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,45,4,0.772305487869437
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"x",0,14,30,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,4,1.11345704055823
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"Ref",0,13,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,26,5,1.30328826369606
"R1","RIS","RIS-S","RIS-S-P2","PBG",2,"Ref",0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0.562335144618808
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"Ref",0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.867563228481461
"R1","RIS","RIS-S","RIS-S-P5","PBG",2,"Ref",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"R1","RIS","RIS-S","RIS-S-P6","PBG",2,"Ref",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
"R1","STE","STE-N","STE-N-P1","GB",1,"Spr",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
"R1","STE","STE-N","STE-N-P2","GB",1,"Spr",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,2,0.325082973391448
"R1","STE","STE-N","STE-N-P3","GB",1,"Spr",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,43,3,0.437702318095263
"R1","STE","STE-N","STE-N-P4","GB",1,"Spr",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0
"R1","STE","STE-N","STE-N-P5","GB",1,"Spr",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,21,3,0.668017818660753
"R1","STE","STE-N","STE-N-P6","GB",1,"Spr",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,38,2,0.623654849568108
"R1","STE","STE-S","STE-S-P2","GB",1,"SnS",0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
"R1","STE","STE-S","STE-S-P5","GB",1,"SnS",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
"R1","STE","STE-S","STE-S-P6","GB",1,"SnS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"R1","STE","STE-W","STE-W-P1","GB",1,"Con",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
"R1","STE","STE-W","STE-W-P2","GB",1,"Con",0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0.655481773901393
"R1","STE","STE-W","STE-W-P3","GB",1,"Con",0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0.191444081957717
"R1","STE","STE-W","STE-W-P4","GB",1,"Con",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0.348832095843032
"R1","STE","STE-W","STE-W-P5","GB",1,"Con",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"R1","STE","STE-W","STE-W-P6","GB",1,"Con",0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0.126930545341402
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"x",0,10,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,5,1.40311015794859
"R2","KLN","KLN-C","KLN-C-P2","PBG",1,"x",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,2,0.529706199057654
"R2","KLN","KLN-C","KLN-C-P3","PBG",1,"x",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"R2","KLN","KLN-C","KLN-C-P4","PBG",1,"x",0,8,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0.970115783986938
"R2","KLN","KLN-C","KLN-C-P6","PBG",1,"x",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,2,0.233791658706459
"R2","KLN","KLN-E","KLN-E-P1","PBG",2,"Ref",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"R2","KLN","KLN-E","KLN-E-P2","PBG",2,"Ref",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"R2","KLN","KLN-E","KLN-E-P3","PBG",2,"Ref",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
"R2","KLN","KLN-E","KLN-E-P4","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,14,2,0.257318640543832
"R2","KLN","KLN-E","KLN-E-P5","PBG",2,"Ref",0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,18,4,1.16793736772566
"R2","KLN","KLN-E","KLN-E-P6","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,16,2,0.233791658706459
"R2","KLN","KLN-W","KLN-W-P4","PBG",0,"x",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
"R2","KLN","KLN-W","KLN-W-P5","PBG",0,"x",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
"R2","PYN","PYN-N","PYN-N-P1","PBG",2,"Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0
"R2","PYN","PYN-N","PYN-N-P2","PBG",2,"Ref",0,34,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,3,0.711086860316757
"R2","PYN","PYN-N","PYN-N-P3","PBG",2,"Ref",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,30,3,0.46765248651006
"R2","PYN","PYN-N","PYN-N-P4","PBG",2,"Ref",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,2,0.119246926396245
"R2","PYN","PYN-N","PYN-N-P5","PBG",2,"Ref",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,2,0.348832095843032
"R2","PYN","PYN-N","PYN-N-P6","PBG",2,"Ref",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
"R2","PYN","PYN-S","PYN-S-P1","PBG",0,"x",0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,4,0.895332665968091
"R2","PYN","PYN-S","PYN-S-P2","PBG",0,"x",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,2,0.317936780262242
"R2","PYN","PYN-S","PYN-S-P3","PBG",0,"x",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"R2","PYN","PYN-S","PYN-S-P4","PBG",0,"x",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,32,3,0.900256051268537
"R2","PYN","PYN-S","PYN-S-P5","PBG",0,"x",0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,22,4,1.11051289342178
"R2","PYN","PYN-S","PYN-S-P6","PBG",0,"x",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,15,3,0.62770525719715
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"x",0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,20,0,0,0,2,57,6,1.58294976278667
"R2","PYN","PYN-W","PYN-W-P2","PBG",1,"x",0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,72,2,0.590842246275583
"R2","PYN","PYN-W","PYN-W-P3","PBG",1,"x",0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,44,2,0.535959889216217
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"x",0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,34,4,1.02220145680465
"R2","PYN","PYN-W","PYN-W-P5","PBG",1,"x",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,10,3,1.02965301406457
"R2","PYN","PYN-W","PYN-W-P6","PBG",1,"x",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,2,0.500402423538188
"R2","RIS","RIS-C","RIS-C-P2","PBG",0,"x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0
"R2","RIS","RIS-C","RIS-C-P4","PBG",0,"x",0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0.450561208866305
"R2","RIS","RIS-C","RIS-C-P5","PBG",0,"x",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,37,2,0.485045142556336
"R2","RIS","RIS-C","RIS-C-P6","PBG",0,"x",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
"R2","RIS","RIS-N","RIS-N-P1","PBG",1,"x",0,45,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,60,4,0.777547992276616
"R2","RIS","RIS-N","RIS-N-P2","PBG",1,"x",0,52,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,73,4,0.897896800271111
"R2","RIS","RIS-N","RIS-N-P3","PBG",1,"x",0,40,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0.521393747129433
"R2","RIS","RIS-N","RIS-N-P4","PBG",1,"x",0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,48,4,0.995289246151317
"R2","RIS","RIS-N","RIS-N-P5","PBG",1,"x",0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,38,4,0.742483803331828
"R2","RIS","RIS-N","RIS-N-P6","PBG",1,"x",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,40,3,0.920659479150664
"R2","RIS","RIS-S","RIS-S-P1","PBG",2,"Ref",0,30,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0.911616391775402
"R2","RIS","RIS-S","RIS-S-P2","PBG",2,"Ref",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
"R2","RIS","RIS-S","RIS-S-P3","PBG",2,"Ref",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
"R2","RIS","RIS-S","RIS-S-P5","PBG",2,"Ref",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
"R2","RIS","RIS-S","RIS-S-P6","PBG",2,"Ref",0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0.271189373041844
