Sampling Event ID,Capture Year,Capture Date,Round,Site,Patch,Flower Common Name,P1,P2,P3,P4,P5,P6,Collector,Enterer,Entry Date,Checker,Check Date
62,2018,6.17,R2,PYN,PYN-S,red clover,,3,,4,4,1,NJL,EKS,6.18,HFM,6.19
62,2018,6.17,R2,PYN,PYN-S,white clover,1,,,8,13,2,NJL,EKS,6.18,HFM,6.19
62,2018,6.17,R2,PYN,PYN-S,dandelion,,,,,2,,NJL,EKS,6.18,HFM,6.19
62,2018,6.17,R2,PYN,PYN-S,horse nettle,2,,,,,,NJL,EKS,6.18,HFM,6.19
62,2018,6.17,R2,PYN,PYN-S,oxeye daisy,1,,,,,,NJL,EKS,6.18,HFM,6.19
63,2018,6.17,R2,RIS,RIS-S,birdsfoot trefoil,30,28,36,,32,24,NJL,EKS,6.18,HFM,6.19
63,2018,6.17,R2,RIS,RIS-S,deptford pink,5,,,,,2,NJL,EKS,6.18,HFM,6.19
63,2018,6.17,R2,RIS,RIS-S,daisy fleabane,18,,,,,,NJL,EKS,6.18,HFM,6.19
64,2018,6.17,R2,RIS,RIS-C,white clover,,2,,,,,NJL,EKS,6.18,HFM,6.19
64,2018,6.17,R2,RIS,RIS-C,birdsfoot trefoil,,,,25,30,10,NJL,EKS,6.18,HFM,6.19
64,2018,6.17,R2,RIS,RIS-C,horse nettle,,,,5,,,NJL,EKS,6.18,HFM,6.19
64,2018,6.17,R2,RIS,RIS-C,yarrow,,,,,7,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,birdsfoot trefoil,45,52,40,25,30,25,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,white sweet clover,,,,18,2,7,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,yellow sweet clover,,,,,3,8,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,oxeye daisy,,,,,3,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,horse nettle,,,,4,,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,prairie petunia,,,,1,,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,deptford pink,10,10,11,,,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,daisy fleabane,,7,,,,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,red clover,2,4,,,,,NJL,EKS,6.18,HFM,6.19
65,2018,6.17,R2,RIS,RIS-N,hoary vervain,3,,,,,,NJL,EKS,6.18,HFM,6.19
66,2018,6.17,R2,KLN,KLN-E,red clover,,,,1,3,1,NJL,EKS,6.18,HFM,6.19
66,2018,6.17,R2,KLN,KLN-E,white clover,,,,13,2,15,NJL,EKS,6.18,HFM,6.19
66,2018,6.17,R2,KLN,KLN-E,daisy fleabane,,,,,10,,NJL,EKS,6.18,HFM,6.19
66,2018,6.17,R2,KLN,KLN-E,deptford pink,,,,,3,,NJL,EKS,6.18,HFM,6.19
66,2018,6.17,R2,KLN,KLN-E,alsike clover,,4,7,,,,NJL,EKS,6.18,HFM,6.19
66,2018,6.17,R2,KLN,KLN-E,birdsfoot trefoil,4,,,,,,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,black-eyed susan,2,,,,,,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,white clover,6,4,,,,,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,birdsfoot trefoil,10,,,8,,15,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,deptford pink,3,14,8,5,,,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,black medick,2,,,,,,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,oxeye daisy,,,,2,,,NJL,EKS,6.18,HFM,6.19
67,2018,6.17,R2,KLN,KLN-C,red clover,,,,,,1,NJL,EKS,6.18,HFM,6.19
68,2018,6.17,R2,KLN,KLN-W,birdsfoot trefoil,,,,26,18,,NJL,EKS,6.18,HFM,6.19
69,2018,7.15,R3,KLN,KLN-E,queen anne's lace,,1,,1,11,8,EKS,NJL,7.15,EKS,7.21
69,2018,7.15,R3,KLN,KLN-E,red clover,,,,3,3,,EKS,NJL,7.15,EKS,7.21
69,2018,7.15,R3,KLN,KLN-E,slender mountain mint,,,,,2,,EKS,NJL,7.15,EKS,7.21
69,2018,7.15,R3,KLN,KLN-E,grey-headed coneflower,,1,8,,,,EKS,NJL,7.15,EKS,7.21
69,2018,7.15,R3,KLN,KLN-E,bee balm,,,6,,,,EKS,NJL,7.15,EKS,7.21
69,2018,7.15,R3,KLN,KLN-E,white sweet clover,,,3,,,,EKS,NJL,7.15,EKS,7.21
69,2018,7.15,R3,KLN,KLN-E,wild parsnip,1,,,,,,EKS,NJL,7.15,EKS,7.21
70,2018,7.15,R3,KLN,KLN-C,white sweet clover,,1,2,,,,EKS,NJL,7.15,EKS,7.21
70,2018,7.15,R3,KLN,KLN-C,black-eyed susan,5,,,,,,EKS,NJL,7.15,EKS,7.21
71,2018,7.15,R3,KLN,KLN-W,sawtooth sunflower,2,,,,,,NJL,NJL,7.15,EKS,7.21
71,2018,7.15,R3,KLN,KLN-W,queen anne's lace,,2,,,,,NJL,NJL,7.15,EKS,7.21
71,2018,7.15,R3,KLN,KLN-W,grey-headed coneflower,,,3,,,,NJL,NJL,7.15,EKS,7.21
71,2018,7.15,R3,KLN,KLN-W,birdsfoot trefoil,,,,12,7,,NJL,NJL,7.15,EKS,7.21
71,2018,7.15,R3,KLN,KLN-W,red clover,,,,,,1,NJL,NJL,7.15,EKS,7.21
71,2018,7.15,R3,KLN,KLN-W,partridge pea,,,,,,6,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,red clover,6,3,,,,,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,white sweet clover,10,11,24,4,12,16,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,queen anne's lace,5,,,3,,12,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,grey-headed coneflower,4,6,,,5,,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,birdsfoot trefoil,2,20,12,5,,,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,prairie petunia,,2,,,,,NJL,NJL,7.15,EKS,7.21
72,2018,7.15,R3,PYN,PYN-W,partridge pea,,,,,,1,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,grey-headed coneflower,,4,5,4,,3,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,birdsfoot trefoil,,6,2,7,5,2,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,chicory,,,,6,,,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,wild parsnip,,,,10,,,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,red clover,,,1,,,,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,prairie petunia,,,3,,,,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,white sweet clover,,2,1,,,,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,germander,,4,,,,,NJL,NJL,7.15,EKS,7.21
73,2018,7.15,R3,PYN,PYN-N,daisy fleabane,,46,,,,,NJL,NJL,7.15,EKS,7.21
74,2018,7.15,R3,PYN,PYN-S,birdsfoot trefoil,28,11,28,19,14,3,EKS,NJL,7.15,EKS,7.21
74,2018,7.15,R3,PYN,PYN-S,red clover,13,17,21,,6,1,EKS,NJL,7.15,EKS,7.21
74,2018,7.15,R3,PYN,PYN-S,prairie petunia,,,,,,5,EKS,NJL,7.15,EKS,7.21
74,2018,7.15,R3,PYN,PYN-S,queen anne's lace,26,,2,,,,EKS,NJL,7.15,EKS,7.21
74,2018,7.15,R3,PYN,PYN-S,white clover,,3,,,,,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,whorled milkweed,4,,,,,,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,birdsfoot trefoil,3,18,21,25,22,16,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,prairie petunia,,3,,,,,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,queen anne's lace,,7,7,,,14,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,deptford pink,,,5,,,,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,thimbleweed,,,1,,,,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,white sweet clover,,,,68,24,28,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,grey-headed coneflower,,,,,5,1,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,yellow sweet clover,,,,,42,1,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,oxeye daisy,,,,,1,,EKS,NJL,7.15,EKS,7.21
75,2018,7.15,R3,RIS,RIS-N,red clover,,,,,3,,EKS,NJL,7.15,EKS,7.21
76,2018,7.15,R3,RIS,RIS-S,birdsfoot trefoil,6,25,26,,37,43,EKS,NJL,7.15,EKS,7.21
76,2018,7.15,R3,RIS,RIS-S,white clover,,,,,,4,EKS,NJL,7.15,EKS,7.21
76,2018,7.15,R3,RIS,RIS-S,morning glory,,,,1,,,EKS,NJL,7.15,EKS,7.21
76,2018,7.15,R3,RIS,RIS-S,daisy fleabane,2,,,,,,EKS,NJL,7.15,EKS,7.21
76,2018,7.15,R3,RIS,RIS-S,whorled milkweed,4,,,,,,EKS,NJL,7.15,EKS,7.21
77,2018,7.15,R3,RIS,RIS-C,ironweed,,,1,1,,,NJL,NJL,7.15,EKS,7.21
77,2018,7.15,R3,RIS,RIS-C,bergamot,,,,8,1,,NJL,NJL,7.15,EKS,7.21
77,2018,7.15,R3,RIS,RIS-C,grey-headed coneflower,,,,3,,,NJL,NJL,7.15,EKS,7.21
77,2018,7.15,R3,RIS,RIS-C,birdsfoot trefoil,,,,10,20,,NJL,NJL,7.15,EKS,7.21
77,2018,7.15,R3,RIS,RIS-C,yarrow,,,,,1,,NJL,NJL,7.15,EKS,7.21
78,2018,7.17,R3,STE,STE-N,birdsfoot trefoil,16,31,15,26,25,11,HFM,NJL,7.17,EKS,7.21
78,2018,7.17,R3,STE,STE-N,grey-headed coneflower,,,1,,,,HFM,NJL,7.17,EKS,7.21
79,2018,7.17,R3,STE,STE-W,birdsfoot trefoil,13,28,45,36,53,32,NJL,NJL,7.17,EKS,7.21
79,2018,7.17,R3,STE,STE-W,partridge pea,,,1,,,,NJL,NJL,7.17,EKS,7.21
79,2018,7.17,R3,STE,STE-W,bergamot,1,,,,,,NJL,NJL,7.17,EKS,7.21
79,2018,7.17,R3,STE,STE-W,queen anne's lace,1,,,,,,NJL,NJL,7.17,EKS,7.21
80,2018,7.17,R3,STE,STE-S,birdsfoot trefoil,,,,10,,8,HFM,NJL,7.17,EKS,7.21
80,2018,7.17,R3,STE,STE-S,queen anne's lace,4,,,1,,,HFM,NJL,7.17,EKS,7.21
80,2018,7.17,R3,STE,STE-S,horse nettle,,,3,,,,HFM,NJL,7.17,EKS,7.21
80,2018,7.17,R3,STE,STE-S,musk thistle,,2,,,,,HFM,NJL,7.17,EKS,7.21
81,2018,7.17,R3,GIL,GIL-S,ironweed,,,,,,2,HFM,NJL,7.17,EKS,7.21
81,2018,7.17,R3,GIL,GIL-S,chicory,3,10,4,1,8,,HFM,NJL,7.17,EKS,7.21
81,2018,7.17,R3,GIL,GIL-S,wild parsnip,,,,,1,,HFM,NJL,7.17,EKS,7.21
81,2018,7.17,R3,GIL,GIL-S,birdsfoot trefoil,19,,12,,,,HFM,NJL,7.17,EKS,7.21
81,2018,7.17,R3,GIL,GIL-S,queen anne's lace,,,1,,,,HFM,NJL,7.17,EKS,7.21
82,2018,7.17,R3,GIL,GIL-C,birdsfoot trefoil,,,8,3,,17,HFM,NJL,7.17,EKS,7.21
82,2018,7.17,R3,GIL,GIL-C,chicory,,5,,,19,,HFM,NJL,7.17,EKS,7.21
83,2018,7.17,R3,GIL,GIL-N,birdsfoot trefoil,,7,17,3,3,8,HFM,NJL,7.17,EKS,7.21
83,2018,7.17,R3,GIL,GIL-N,prairie petunia,,,15,,,,HFM,NJL,7.17,EKS,7.21
83,2018,7.17,R3,GIL,GIL-N,chicory,,10,,,,,HFM,NJL,7.17,EKS,7.21
83,2018,7.17,R3,GIL,GIL-N,queen anne's lace,,1,,,,,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,queen anne's lace,4,3,,,,1,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,white sweet clover,12,12,16,,,5,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,yellow sweet clover,,2,,,,,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,bergamot,,3,,,,,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,grey-headed coneflower,,,1,,,,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,red clover,,,,,3,,HFM,NJL,7.17,EKS,7.21
84,2018,7.17,R3,LTR,LTR-C,ironweed,,,,,1,,HFM,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,queen anne's lace,4,,2,9,7,8,NJL,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,white sweet clover,4,14,4,4,10,5,NJL,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,grey-headed coneflower,,4,23,6,9,,NJL,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,prairie petunia,,,1,,1,,NJL,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,deptford pink,,,,,3,,NJL,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,ironweed,2,,,2,,,NJL,NJL,7.17,EKS,7.21
85,2018,7.17,R3,LTR,LTR-E,yellow sweet clover,,4,,1,,,NJL,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,queen anne's lace,,,,,3,,HFM,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,prairie petunia,,1,,,1,,HFM,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,slender mountain mint,2,,1,,,,HFM,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,daisy fleabane,,,4,,,,HFM,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,white sweet clover,4,,1,,,,HFM,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,ironweed,,4,,,,,HFM,NJL,7.17,EKS,7.21
86,2018,7.17,R3,LTR,LTR-W,black-eyed susan,1,,,,,,HFM,NJL,7.17,EKS,7.21
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
