Sampling Event ID,Capture Year,Capture Date,Round,Site,SiteCode,Height,Specimen ID,Family,Genus,Species,Sex,Number,Bowls Recovered,ID Checked?,Pinned?
10,2017,6.08,1,GIL,GIL-N,High,1406,Apidae,Ceratina,dupla,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,High,1407,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,High,1408,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,High,1409,Halictidae,Agapostemon,virescens,F,1,6,Y,Mold
11,2017,6.08,1,LTR,LTR-E,Low,1410,,,,F,1,6,,Mold
11,2017,6.08,1,LTR,LTR-E,Low,1411,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,Low,1412,Halictidae,Augochlorella,aurata,F,1,6,Y,Broken
11,2017,6.08,1,LTR,LTR-E,Low,1413,Halictidae,Lasioglossum,Hemihalictus,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,Low,1414,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,Low,1415,Halictidae,Lasioglossum,Hemihalictus,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,Low,1416,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
11,2017,6.08,1,LTR,LTR-E,Low,1417,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
12,2017,6.08,1,PYS,PYS-W,Low,0,NA,X,X,X,0,3,NA,NA
12,2017,6.08,1,PYS,PYS-W,High,1418,,,,F,1,2,,Mold
13,2017,6.19,1,PYN,PYN-N,Low,0,NA,X,X,X,0,6,NA,NA
13,2017,6.19,1,PYN,PYN-N,High,1419,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
13,2017,6.19,1,PYN,PYN-N,High,1420,Halictidae,Augochlorella,aurata,F,1,6,Y,Broken
13,2017,6.19,1,PYN,PYN-N,High,1421,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
13,2017,6.19,1,PYN,PYN-N,High,1422,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
13,2017,6.19,1,PYN,PYN-N,High,1423,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
13,2017,6.19,1,PYN,PYN-N,High,1424,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Mold
13,2017,6.19,1,PYN,PYN-N,High,1425,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,Low,0,NA,X,X,X,0,6,NA,NA
14,2017,6.19,1,STE,STE-S,High,1426,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,High,1427,Apidae,Ceratina,dupla,M,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,High,1428,Halictidae,Augochlorella,aurata,F,1,6,Y,Mold
14,2017,6.19,1,STE,STE-S,High,1429,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,High,1430,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,High,1431,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Broken
14,2017,6.19,1,STE,STE-S,High,1432,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,High,1433,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
14,2017,6.19,1,STE,STE-S,High,1434,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
15,2017,6.19,1,LTR,LTR-W,High,1435,,,,M,1,6,,Mold
15,2017,6.19,1,LTR,LTR-W,High,1436,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
15,2017,6.19,1,LTR,LTR-W,High,1437,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
15,2017,6.19,1,LTR,LTR-W,High,1438,Halictidae,Halictus,ligatus,F,1,6,Y,Y
15,2017,6.19,1,LTR,LTR-W,High,1439,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
15,2017,6.19,1,LTR,LTR-W,Low,1440,Apidae,Eucera,hamata,F,1,5,Y,Y
16,2017,6.19,1,PYW,PYW-C,High,0,NA,X,X,X,0,2,NA,NA
16,2017,6.19,1,PYW,PYW-C,Low,0,NA,X,X,X,0,3,NA,NA
17,2017,6.20,2,RIS,RIS-S,High,1441,Halictidae,Augochlorella,aurata,F,1,6,Y,Broken
17,2017,6.20,2,RIS,RIS-S,High,1442,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
17,2017,6.20,2,RIS,RIS-S,High,1443,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Broken
17,2017,6.20,2,RIS,RIS-S,High,1444,Halictidae,Halictus,ligatus,F,1,6,Y,Mold
17,2017,6.20,2,RIS,RIS-S,Low,1445,Megachilidae,Osmia,pumila,F,1,6,Y,Y
18,2017,6.20,2,STE,STE-N,Low,0,NA,X,X,X,0,6,NA,NA
18,2017,6.20,2,STE,STE-N,High,1446,Apidae,Eucera,hamata,F,1,6,Y,Y
18,2017,6.20,2,STE,STE-N,High,1447,Halictidae,Halictus,ligatus,F,1,6,Y,Y
18,2017,6.20,2,STE,STE-N,High,1448,,,,M,1,6,,Mold
19,2017,6.20,2,PYW,PYW-S,Low,0,NA,X,X,X,0,6,NA,NA
19,2017,6.20,2,PYW,PYW-S,High,1449,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
19,2017,6.20,2,PYW,PYW-S,High,1450,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
19,2017,6.20,2,PYW,PYW-S,High,1451,,,,F,1,6,,Mold
20,2017,6.20,2,GIL,GIL-C,Low,0,NA,X,X,X,0,6,NA,NA
20,2017,6.20,2,GIL,GIL-C,High,1452,Apidae,Ceratina,dupla,F,1,5,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1453,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1454,Halictidae,Halictus,ligatus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1455,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1456,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1457,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1458,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1459,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1460,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1461,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1462,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1463,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1464,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,High,1465,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
21,2017,7.02,2,KLN,KLN-E,Low,1466,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
22,2017,7.02,2,LTR,LTR-C,High,1467,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
22,2017,7.02,2,LTR,LTR-C,High,1468,Halictidae,Halictus,ligatus,F,1,6,Y,Y
22,2017,7.02,2,LTR,LTR-C,High,1469,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
22,2017,7.02,2,LTR,LTR-C,Low,1470,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
22,2017,7.02,2,LTR,LTR-C,Low,1471,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
22,2017,7.02,2,LTR,LTR-C,Low,1472,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1473,Halictidae,Augochlorella,aurata,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1474,Halictidae,Augochlorella,aurata,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1475,Halictidae,Lasioglossum,Dialictus,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1476,Halictidae,Lasioglossum,Dialictus,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1477,Halictidae,Lasioglossum,Dialictus,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1478,Halictidae,Agapostemon,virescens,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,High,1479,Halictidae,Halictus,ligatus,F,1,3,Y,Y
23,2017,7.02,2,GIL,GIL-S,Low,1480,Halictidae,Lasioglossum,Dialictus,F,1,2,Y,Y
23,2017,7.02,2,GIL,GIL-S,Low,1481,Halictidae,Augochlorella,aurata,F,1,2,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1482,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1483,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1484,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1485,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1486,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1487,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1488,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1489,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1490,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1491,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1492,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1493,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1494,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1495,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1496,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1497,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1498,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,High,1499,Apidae,Melissodes,boltoniae,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,Low,1500,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,Low,1501,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,Low,1502,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,Low,1503,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,Low,1504,Halictidae,Halictus,ligatus,F,1,6,Y,Y
24,2017,7.02,2,GIL,GIL-N,Low,1505,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1506,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1507,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1508,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1509,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1510,Apidae,Ceratina,dupla,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1511,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1512,Halictidae,Agapostemon,virescens,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1513,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1514,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1515,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1516,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1517,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1518,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1519,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1520,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1521,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1522,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1523,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1524,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1525,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,High,1526,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1527,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1528,Halictidae,Augochlorella,aurata,M,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1529,Halictidae,Halictus,ligatus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1530,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1531,Halictidae,Augochlorella,aurata,M,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1532,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1533,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1534,Halictidae,Augochlorella,aurata,M,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1535,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1536,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1537,Halictidae,Augochlorella,aurata,M,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1538,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1539,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1540,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1541,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1542,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1543,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1544,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1545,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1546,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1547,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1548,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1549,Megachilidae,Osmia,lignaria,F,1,6,Y,Y
25,2017,7.02,2,LTR,LTR-E,Low,1550,Andrenidae,Calliopsis,nebraskensis,M,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,Low,0,NA,X,X,X,0,6,NA,NA
26,2017,7.02,2,STE,STE-W,High,1551,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1552,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1553,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1554,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1555,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1556,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1557,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1558,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1559,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1560,Halictidae,Halictus,ligatus,F,1,6,Y,Y
26,2017,7.02,2,STE,STE-W,High,1561,Halictidae,Halictus,ligatus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1562,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1563,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1564,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1565,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1566,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1567,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1568,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1569,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1570,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1571,Apidae,Melissodes,bimaculata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1572,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1573,Andrenidae,Calliopsis,nebraskensis,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1574,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1575,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1576,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1577,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1578,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1579,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1580,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1581,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1582,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1583,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1584,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1585,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,High,1586,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,Low,1587,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,Low,1588,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
27,2017,7.14,2,STE,STE-S,Low,1589,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
28,2017,7.14,2,LTR,LTR-W,High,1590,Apidae,Melissodes,communis,F,1,6,Y,Y
28,2017,7.14,2,LTR,LTR-W,High,1591,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
28,2017,7.14,2,LTR,LTR-W,High,1592,Halictidae,Agapostemon,texanus,F,1,6,Y,Y
28,2017,7.14,2,LTR,LTR-W,High,1593,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1594,Halictidae,Augochlorella,aurata,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1595,Halictidae,Augochlorella,aurata,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1596,Halictidae,Augochlorella,aurata,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1597,Halictidae,Augochlorella,aurata,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1598,Halictidae,Augochlorella,aurata,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1599,Halictidae,Augochlorella,aurata,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1600,Halictidae,Lasioglossum,Evylaeus,F,1,5,Y,Y
28,2017,7.14,2,LTR,LTR-W,Low,1601,Halictidae,Lasioglossum,Dialictus,F,1,5,Y,Y
29,2017,7.14,2,PYN,PYN-N,High,1602,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
29,2017,7.14,2,PYN,PYN-N,High,1603,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
29,2017,7.14,2,PYN,PYN-N,High,1604,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
29,2017,7.14,2,PYN,PYN-N,High,1605,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
29,2017,7.14,2,PYN,PYN-N,High,1606,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
