Sampling Event ID,Capture Year,Capture Date,Round,Site,SiteCode,Nectar Common Name,Section 1,Section 2,Section 3,Section 4,Section 5,Collector,Enterer,Checker
4,2017,5.28,1,GIL,GIL-C,Chickweed,0,0,0,6,0,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Field Cress,0,0,0,0,7,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Red Clover,0,0,0,0,1,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Dandelion,0,0,0,0,1,ELM,NJL,EKS
5,2017,5.30,1,KLN,KLN-E,White Clover,3,1,0,4,1,NJL,NJL,EKS
5,2017,5.30,1,KLN,KLN-E,Red Clover,0,0,0,0,1,NJL,NJL,EKS
5,2017,5.30,1,KLN,KLN-E,Dandelion,0,0,2,0,0,NJL,NJL,EKS
6,2017,5.30,1,PYW,PYW-N,White Clover,185,95,0,20,13,NJL,NJL,EKS
6,2017,5.30,1,PYW,PYW-N,Birdsfoot Trefoil,0,15,28,20,1,NJL,NJL,EKS
6,2017,5.30,1,PYW,PYW-N,Red Clover,32,13,2,16,7,NJL,NJL,EKS
6,2017,5.30,1,PYW,PYW-N,White Lobelia,0,0,0,12,0,NJL,NJL,EKS
6,2017,5.30,1,PYW,PYW-N,Oxeye Daisy,2,11,13,18,0,NJL,NJL,EKS
6,2017,5.30,1,PYW,PYW-N,Black Medick,5,25,1,0,0,NJL,NJL,EKS
7,2017,5.30,1,LTR,LTR-C,Black Medick,1,0,1,2,25,NJL,NJL,EKS
7,2017,5.30,1,LTR,LTR-C,Yarrow,0,0,13,0,0,NJL,NJL,EKS
7,2017,5.30,1,LTR,LTR-C,Multiflora Rose,0,30,0,0,0,NJL,NJL,EKS
7,2017,5.30,1,LTR,LTR-C,White Clover,2,0,0,0,0,NJL,NJL,EKS
8,2017,5.30,1,GIL,GIL-S,Dandelion,3,0,0,3,2,LMG,NJL,EKS
8,2017,5.30,1,GIL,GIL-S,Multiflora Rose,0,0,0,70,0,LMG,NJL,EKS
8,2017,5.30,1,GIL,GIL-S,Wild Parsnip,0,0,0,1,0,LMG,NJL,EKS
8,2017,5.30,1,GIL,GIL-S,White Clover,3,5,0,0,0,LMG,NJL,EKS
9,2017,6.08,1,STE,STE-W,Birdsfoot Trefoil,4,6,4,2,4,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,Black Medick,34,0,20,12,0,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,Red Clover,1,1,8,0,0,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,Yellow Sweet Clover,0,0,2,2,0,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,White Clover,0,0,2,0,0,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,Ribwort Plantain,0,0,5,0,0,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,Daisy Fleabane,0,0,1,0,1,NJL,NJL,EKS
9,2017,6.08,1,STE,STE-W,Yarrow,0,0,0,1,0,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Birdsfoot Trefoil,52,18,13,52,0,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Deptford Pink,13,37,15,1,0,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Alsike Clover,96,135,13,19,5,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Daisy Fleabane,18,1,17,5,0,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Ribwort Plantain,3,0,4,32,0,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Red Clover,3,1,4,2,0,NJL,NJL,EKS
10,2017,6.08,1,GIL,GIL-N,Black Medick,0,0,5,0,0,NJL,NJL,EKS
11,2017,6.08,1,LTR,LTR-E,Black Medick,13,5,7,17,9,NJL,NJL,EKS
11,2017,6.08,1,LTR,LTR-E,White Clover,17,5,13,16,28,NJL,NJL,EKS
11,2017,6.08,1,LTR,LTR-E,Red Clover,0,4,0,3,0,NJL,NJL,EKS
11,2017,6.08,1,LTR,LTR-E,Daisy Fleabane,0,0,0,1,0,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,Red Clover,148,120,120,90,113,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,Birdsfoot Trefoil,21,20,3,84,132,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,Alsike Clover,5,6,8,2,0,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,Yarrow,1,0,0,0,0,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,Oxeye Daisy,0,0,8,1,5,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,White Lobelia,0,0,0,13,0,NJL,NJL,EKS
12,2017,6.08,1,PYS,PYS-W,Yellow Sweet Clover,0,0,0,0,1,NJL,NJL,EKS
13,2017,6.19,1,PYN,PYN-N,birdsfoot Trefoil,565,362,497,300,474,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,White Clover,5,39,81,0,0,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,daisy Fleabane,1,0,0,0,0,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,red Clover,19,93,86,77,15,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,white sweet clover,9,5,9,0,4,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,ribwort Plantain,0,2,0,0,0,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,butterfly milkweed,0,2,0,0,0,NJL,EKS,EKS
13,2017,6.19,1,PYN,PYN-N,wild Parsnip,0,0,0,0,6,NJL,EKS,EKS
14,2017,6.19,1,STE,STE-S,birdsfoot Trefoil,121,38,0,8,120,NJL,EKS,EKS
14,2017,6.19,1,STE,STE-S,White Clover,6,0,0,0,5,NJL,EKS,EKS
14,2017,6.19,1,STE,STE-S,alsike Clover,12,1,12,37,0,NJL,EKS,EKS
14,2017,6.19,1,STE,STE-S,red Clover,0,5,0,0,0,NJL,EKS,EKS
15,2017,6.19,1,LTR,LTR-W,daisy Fleabane,3,1,12,18,25,NJL,EKS,EKS
15,2017,6.19,1,LTR,LTR-W,White Clover,0,0,0,0,6,NJL,EKS,EKS
15,2017,6.19,1,LTR,LTR-W,birdsfoot Trefoil,0,0,0,0,7,NJL,EKS,EKS
15,2017,6.19,1,LTR,LTR-W,Black Medick,0,0,0,1,0,NJL,EKS,EKS
15,2017,6.19,1,LTR,LTR-W,ribwort Plantain,0,3,0,2,0,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,slender mountain mint,2,0,0,3,2,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,birdsfoot Trefoil,125,32,27,34,30,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,red Clover,0,36,0,0,16,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,sweet black-eyed susan,0,0,4,0,0,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,yarrow,0,1,3,0,0,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,horse nettle,0,0,2,0,0,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,White Clover,13,43,0,0,0,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,daisy Fleabane,4,6,0,0,0,NJL,EKS,EKS
16,2017,6.19,1,PYW,PYW-C,sulfur cinquefoil,5,2,0,0,0,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,birdsfoot Trefoil,162,280,61,131,190,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,red Clover,39,33,6,0,5,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,White Clover,21,1,0,4,7,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,deptford Pink,0,8,0,0,4,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,daisy Fleabane,0,10,0,0,3,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,blackberry,0,3,0,0,0,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,yellow sweet Clover,0,0,0,5,0,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,yarrow,0,0,0,0,2,NJL,EKS,EKS
17,2017,6.20,2,RIS,RIS-S,swamp vervain,0,0,0,0,1,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,birdsfoot Trefoil,440,500,540,250,540,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,red Clover,32,23,28,28,51,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,White Clover,2,0,3,0,3,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,broadleaf Plantain,95,40,0,0,0,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,black-eyed susan,2,0,37,2,13,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,yellow sweet Clover,4,7,0,0,0,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,daisy Fleabane,16,19,89,60,128,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,deptford Pink,0,1,0,0,0,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,sweet black-eyed susan,0,8,0,0,0,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,ribwort Plantain,0,19,0,2,26,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,Black Medick,0,0,0,5,0,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,white lobelia,0,0,0,3,0,NJL,EKS,EKS
18,2017,6.20,2,STE,STE-N,prairie petunia,0,0,0,0,2,NJL,EKS,EKS
19,2017,6.20,2,PYW,PYW-S,birdsfoot Trefoil,420,880,550,600,205,NJL,EKS,EKS
19,2017,6.20,2,PYW,PYW-S,red Clover,90,170,130,300,220,NJL,EKS,EKS
19,2017,6.20,2,PYW,PYW-S,alsike Clover,280,20,20,30,50,NJL,EKS,EKS
19,2017,6.20,2,PYW,PYW-S,oxeye Daisy,1,0,0,0,1,NJL,EKS,EKS
19,2017,6.20,2,PYW,PYW-S,sulfur cinquefoil,0,0,2,0,1,NJL,EKS,EKS
19,2017,6.20,2,PYW,PYW-S,sweet black-eyed susan,0,0,0,1,0,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,birdsfoot Trefoil,520,200,41,95,22,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,daisy Fleabane,73,240,97,24,34,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,yarrow,10,0,0,0,0,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,White Clover,40,70,195,80,270,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,ribwort Plantain,0,90,50,40,0,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,deptford Pink,0,46,68,1,3,NJL,EKS,EKS
20,2017,6.20,2,GIL,GIL-C,red Clover,0,10,0,0,13,NJL,EKS,EKS
21,2017,7.01,2,KLN,KLN-E,White Clover,50,16,20,48,57,LMG,EKS,ELM
21,2017,7.01,2,KLN,KLN-E,Alsike Clover,50,13,16,25,14,LMG,EKS,ELM
21,2017,7.01,2,KLN,KLN-E,Black Medick,1,0,0,0,3,LMG,EKS,ELM
21,2017,7.01,2,KLN,KLN-E,horse nettle,0,6,4,0,0,LMG,EKS,ELM
21,2017,7.01,2,KLN,KLN-E,Birdsfoot Trefoil,0,0,1,12,26,LMG,EKS,ELM
21,2017,7.01,2,KLN,KLN-E,Red Clover,0,0,0,4,4,LMG,EKS,ELM
21,2017,7.01,2,KLN,KLN-E,Dandelion,0,0,0,0,1,LMG,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,Red Clover,6,4,1,6,10,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,White Clover,30,0,1,0,13,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,horse nettle,0,0,0,0,3,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,Daisy Fleabane,50,0,8,4,5,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,Black Medick,0,2,4,2,0,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,Yellow Sweet Clover,0,0,2,0,0,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,swamp vervain,0,1,0,0,0,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,white sweet clover,0,1,0,0,0,NJL,EKS,ELM
22,2017,7.01,2,LTR,LTR-C,Yarrow,0,2,0,0,0,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,White Clover,95,81,70,75,21,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,Birdsfoot Trefoil,1,25,95,250,250,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,chicory,4,6,0,2,0,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,Dandelion,2,0,0,0,0,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,Ribwort Plantain,2,0,0,0,0,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,wild Parsnip,0,0,7,0,0,NJL,EKS,ELM
23,2017,7.01,2,GIL,GIL-S,horse nettle,0,0,0,2,0,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,Birdsfoot Trefoil,210,420,435,380,5,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,White Clover,43,100,2,15,8,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,Daisy Fleabane,5,78,21,0,3,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,deptford Pink,14,24,4,5,0,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,Ribwort Plantain,2,0,1,11,3,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,horse nettle,2,0,0,0,0,NJL,EKS,ELM
24,2017,7.01,2,GIL,GIL-N,chicory,0,0,0,0,2,NJL,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,Black Medick,80,34,0,82,50,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,White Clover,19,0,0,29,0,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,Daisy Fleabane,14,13,52,30,65,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,prairie petunia,11,0,0,0,0,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,hoary vervain,3,0,0,7,3,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,deptford Pink,5,0,0,0,0,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,red Clover,2,8,8,1,0,ELM,EKS,ELM
25,2017,7.01,2,LTR,LTR-E,wild white indigo,0,0,2,0,1,ELM,EKS,ELM
26,2017,7.01,2,STE,STE-W,birdsfoot Trefoil,1800,1000,535,1036,370,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,sweet black-eyed susan,0,6,0,0,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,red Clover,0,1,33,2,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,daisy Fleabane,0,3,8,0,3,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,White Clover,0,0,15,0,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,yellow sweet Clover,0,0,1,0,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,black-eyed susan,0,0,1,0,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,Black Medick,0,0,55,0,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,slender mountain mint,0,0,0,104,6,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,prairie petunia,0,0,0,2,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,yarrow,0,0,0,2,0,EKS,EKS,ELM
26,2017,7.01,2,STE,STE-W,deptford Pink,0,0,0,0,1,EKS,EKS,ELM
27,2017,7.13,2,STE,STE-S,birdsfoot trefoil,225,112,0,33,150,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,queen anne's lace,2,1,0,1,9,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,alsike clover,30,5,0,25,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,white clover,30,5,6,20,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,lance leaf plantain,0,0,0,1,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,red clover,15,0,0,1,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,canada thistle,0,0,0,35,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,wild parsnip,0,18,0,5,14,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,canada anemone,0,0,1,0,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,common cinquefoil,0,0,6,0,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,horse nettle,8,1,3,0,0,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,prairie cinquefoil,0,0,0,0,1,LMG,NJL,ELM
27,2017,7.13,2,STE,STE-S,bee balm,0,0,0,0,3,LMG,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,horse nettle,3,0,0,0,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,daisy fleabane,6,3,4,10,4,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,deptford pink,1,0,0,0,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,bee balm,2,0,0,0,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,ribwort plantain,0,3,0,0,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,partridge pea,0,0,3,0,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,alsike clover,0,0,1,0,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,white clover,0,0,10,0,9,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,prairie petunia,0,0,1,1,0,EKS,NJL,ELM
28,2017,7.13,2,LTR,LTR-W,slender mountain mint,0,0,0,0,5,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,birdsfoot trefoil,436,715,1700,68,105,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,white sweet clover,485,610,70,180,200,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,white clover,18,100,20,0,2,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,red clover,52,48,45,122,0,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,prairie rose,3,0,0,0,0,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,germander,7,20,5,0,1,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,queen anne's lace,5,6,0,4,7,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,horse nettle,0,24,4,0,2,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,hoary vervain,0,7,3,0,0,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,butterfly milkweed,0,3,0,0,0,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,alsike clover,0,2,2,0,0,EKS,NJL,ELM
29,2017,7.13,2,PYN,PYN-N,bee balm,0,0,0,0,8,EKS,NJL,ELM
30,2017,7.20,3,RIS,RIS-S,bee balm,113,0,31,0,0,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,white sweet clover,17,2,0,6,0,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,hairy mountain mint,55,0,0,0,0,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,birdsfoot trefoil,25,199,72,35,78,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,red clover,12,42,3,0,1,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,slender mountain mint,80,0,0,0,0,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,queen anne's lace,8,12,12,2,18,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,white clover,12,0,0,0,4,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,daisy fleabane,0,5,0,0,1,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,self-heal,0,2,0,0,0,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,horse nettle,0,0,0,1,6,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,yellow sweet clover,0,0,0,4,0,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,field bindweed,0,0,0,0,1,NJL,NJL,NJL
30,2017,7.20,3,RIS,RIS-S,hoary vervain,0,0,0,0,3,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,birdsfoot trefoil,175,190,40,50,30,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,chicory,15,50,80,0,0,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,daisy fleabane,20,110,50,20,55,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,hoary vervain,1,7,0,0,0,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,red clover,1,2,3,0,3,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,white clover,15,40,30,0,39,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,ribwort plantain,0,20,0,0,0,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,ironweed,0,0,0,0,2,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,catnip,0,0,0,0,30,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,deptford pink,0,19,4,0,0,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,queen anne's lace,0,23,2,11,17,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,germander,0,0,12,0,0,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,prairie petunia,0,0,2,0,1,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,self-heal,0,0,25,0,8,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,bergamot,0,0,0,9,36,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,slender mountain mint,0,0,0,24,0,NJL,NJL,NJL
31,2017,7.20,3,GIL,GIL-C,black-eyed susan,0,0,0,0,5,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,birdsfoot trefoil,300,220,150,200,308,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,queen anne's lace,48,0,30,47,56,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,daisy fleabane,38,9,63,17,28,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,red clover,24,0,18,34,108,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,grey-headed coneflower,21,0,13,0,2,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,hoary vervain,1,0,0,2,0,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,prairie petunia,2,1,0,2,1,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,white clover,0,5,0,0,0,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,black-eyed susan,0,1,8,1,0,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,yellow sweet clover,0,0,0,2,0,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,chicory,0,0,0,4,0,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,deptford pink,0,0,0,0,1,NJL,NJL,NJL
32,2017,7.20,3,STE,STE-N,self-heal,0,0,0,0,6,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,red clover,16,3,17,95,130,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,white clover,24,7,4,8,0,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,queen anne's lace,41,14,60,71,0,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,black medick,1,0,0,0,3,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,horse nettle,0,9,2,0,0,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,self-heal,0,2,0,0,0,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,black-eyed susan,0,0,1,0,0,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,birdsfoot trefoil,0,0,0,23,10,NJL,NJL,NJL
33,2017,7.23,3,KLN,KLN-E,partridge pea,0,0,0,0,2,NJL,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,chicory,235,325,205,85,90,LMG,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,queen anne's lace,40,11,29,35,5,LMG,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,white clover,25,0,0,0,0,LMG,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,birdsfoot trefoil,0,0,80,80,135,LMG,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,ironweed,0,0,3,0,0,LMG,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,germander,0,0,0,0,3,LMG,NJL,NJL
34,2017,7.23,3,GIL,GIL-S,horse nettle,0,0,0,0,1,LMG,NJL,NJL
