"Sampling_Event_ID","Capture_Year","Capture_Date","Round","Site","Patch","Height","Bowls_Recovered","Bee_Species","Number"
28,2017,7.14,"R2","LTR","LTR-W","Low",5,"Augochlorella.aurata",6
28,2017,7.14,"R2","LTR","LTR-W","Low",5,"Lasioglossum.Dialictus",1
28,2017,7.14,"R2","LTR","LTR-W","Low",5,"Lasioglossum.Evylaeus",1
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Agapostemon.virescens",1
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Augochlorella.aurata",7
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Halictus.ligatus",1
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Lasioglossum.Dialictus",6
29,2017,7.14,"R2","PYN","PYN-N","Low",6,"Augochlorella.aurata",1
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Agapostemon.texanus",2
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Agapostemon.virescens",3
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Augochlorella.aurata",1
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Ceratina.dupla",1
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Lasioglossum.Dialictus",2
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Lasioglossum.Evylaeus",1
31,2017,7.21,"R3","GIL","GIL-C","High",6,"Lasioglossum.Dialictus",1
31,2017,7.21,"R3","GIL","GIL-C","High",6,"Melissodes.boltoniae",1
31,2017,7.21,"R3","GIL","GIL-C","Low",6,"Lasioglossum.Dialictus",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Agapostemon.texanus",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Agapostemon.virescens",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Apis.mellifera",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Ceratina.dupla",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Halictus.ligatus",2
32,2017,7.21,"R3","STE","STE-N","High",6,"Lasioglossum.Dialictus",1
32,2017,7.21,"R3","STE","STE-N","Low",6,"Lasioglossum.Dialictus",1
33,2017,7.24,"R3","KLN","KLN-E","High",6,"Agapostemon.texanus",1
33,2017,7.24,"R3","KLN","KLN-E","High",6,"Halictus.ligatus",1
34,2017,7.24,"R3","GIL","GIL-S","High ",6,"Lasioglossum.Dialictus",1
35,2017,7.24,"R3","LTR","LTR-C","High",6,"Agapostemon.virescens",1
35,2017,7.24,"R3","LTR","LTR-C","High",6,"Lasioglossum.Dialictus",1
35,2017,7.24,"R3","LTR","LTR-C","Low",6,"Augochlorella.aurata",1
36,2017,7.26,"R3","LTR","LTR-E","High",6,"Melissodes.trinodis",1
36,2017,7.26,"R3","LTR","LTR-E","Low",6,"Augochlorella.aurata",1
37,2017,7.26,"R3","GIL","GIL-N","High",6,"Ceratina.dupla",2
38,2017,7.26,"R3","STE","STE-W","High",6,"Lasioglossum.Dialictus",1
38,2017,7.26,"R3","STE","STE-W","High",6,"Melissodes.bimaculata",1
39,2017,7.26,"R3","STE","STE-S","High",6,"Augochlorella.aurata",1
40,2017,7.26,"R3","LTR","LTR-W","High",6,"Melissodes.trinodis",1
40,2017,7.26,"R3","LTR","LTR-W","Low",5,"Augochlorella.aurata",1
